References;NC_000964;NC_009725;NC_009848;NC_014171;NC_012472;NC_003997;NC_015634;NC_014639;NC_006322;NC_000913;NC_011770;NC_009428;NC_016114;NC_012803;NC_002662;
NC_000964;0;2.803158312320031e-05;0.00010214326993124301;2.0646973780291678e-05;1.932508801461008e-05;0.00010245781201678739;5.687782267616015e-06;3.4440508832500605e-05;5.193583137830249e-05;2.4585732832316243e-05;0.0001818738354866234;2.6428919781995575e-05;5.617006150249182e-05;3.6577165780982135e-05;6.566948605418732e-05;
NC_009725;2.803158312320031e-05;0;7.396158614447756e-05;1.8538050188254829e-06;1.7722553683208186e-05;0.00012715154728976108;5.026775572958275e-06;2.2980493901314514e-05;7.14143690298541e-05;8.418447710711874e-06;0.0001842315904127534;1.9813567680271316e-05;3.3628268549745766e-05;2.8064754784395962e-05;0.00010287496740141178;
NC_009848;0.00010214326993124301;7.396158614447756e-05;0;1.8176958653248754e-05;3.3127779700603543e-05;0.00015044240354361582;3.617091594082522e-05;2.7835303584577975e-05;0.00012598972815525133;3.0242366789501318e-05;0.00023110983944968355;3.199764942646288e-05;2.280150841987849e-05;1.1838467492475413e-05;0.00017674700197595206;
NC_014171;2.0646973780291678e-05;1.8538050188254829e-06;1.8176958653248754e-05;0;3.732499033543002e-05;0.00014036539696954398;3.565766326979469e-05;2.6541908527188962e-05;7.842543045849526e-05;1.605301804497028e-05;0.0002448870892106103;1.563394547970942e-05;2.5649437779662332e-05;6.200475330569999e-05;9.529238812006069e-05;
NC_012472;1.932508801461008e-05;1.7722553683208186e-05;3.3127779700603543e-05;3.732499033543002e-05;0;0.00011677411195543108;1.6265017355299172e-05;7.465607134715668e-07;6.0027312031807334e-05;1.4638436829750301e-05;0.000166376282221381;2.4901465150439783e-05;2.821250393436614e-05;7.177941873881544e-06;8.499584775362168e-05;
NC_003997;0.00010245781201678739;0.00012715154728976108;0.00015044240354361582;0.00014036539696954398;0.00011677411195543108;0;0.0001220082851272064;0.0001372949829684389;5.960015011308162e-05;0.00013461048959989563;0.00011158646542197559;0.00013065479495455445;0.00014905115427765736;0.00010357362325108532;6.851570623495062e-05;
NC_015634;5.687782267616015e-06;5.026775572958275e-06;3.617091594082522e-05;3.565766326979469e-05;1.6265017355299172e-05;0.0001220082851272064;0;7.296124867939291e-06;8.412770781618395e-05;1.8825099289576652e-05;0.00022173782730949831;1.9816621831258985e-06;2.919095802389471e-05;3.3929411052957548e-06;0.00011558420258911406;
NC_014639;3.4440508832500605e-05;2.2980493901314514e-05;2.7835303584577975e-05;2.6541908527188962e-05;7.465607134715668e-07;0.0001372949829684389;7.296124867939291e-06;0;0.00010036266423651963;1.8855639531245583e-05;0.00022739609339439415;8.545855554209503e-06;2.6627444425719737e-05;2.0829233096097965e-05;0.00011345379571731096;
NC_006322;5.193583137830249e-05;7.14143690298541e-05;0.00012598972815525133;7.842543045849526e-05;6.0027312031807334e-05;5.960015011308162e-05;8.412770781618395e-05;0.00010036266423651963;0;6.008505764704131e-05;0.00011973485145455598;6.448787956847557e-05;9.953423337727418e-05;9.360434292737807e-05;1.828869906067565e-05;
NC_000913;2.4585732832316243e-05;8.418447710711874e-06;3.0242366789501318e-05;1.605301804497028e-05;1.4638436829750301e-05;0.00013461048959989563;1.8825099289576652e-05;1.8855639531245583e-05;6.008505764704131e-05;0;0.00022804044935770262;6.103819396641175e-06;3.2305568023471842e-06;3.542020566288384e-05;8.24924307141206e-05;
NC_011770;0.0001818738354866234;0.0001842315904127534;0.00023110983944968355;0.0002448870892106103;0.000166376282221381;0.00011158646542197559;0.00022173782730949831;0.00022739609339439415;0.00011973485145455598;0.00022804044935770262;0;0.0001628076629403008;0.00020244575667549558;8.449698512358328e-05;8.04855357941503e-05;
NC_009428;2.6428919781995575e-05;1.9813567680271316e-05;3.199764942646288e-05;1.563394547970942e-05;2.4901465150439783e-05;0.00013065479495455445;1.9816621831258985e-06;8.545855554209503e-06;6.448787956847557e-05;6.103819396641175e-06;0.0001628076629403008;0;2.4674923116974057e-05;5.542967098703944e-05;0.00011135742033846485;
NC_016114;5.617006150249182e-05;3.3628268549745766e-05;2.280150841987849e-05;2.5649437779662332e-05;2.821250393436614e-05;0.00014905115427765736;2.919095802389471e-05;2.6627444425719737e-05;9.953423337727418e-05;3.2305568023471842e-06;0.00020244575667549558;2.4674923116974057e-05;0;9.30736200210891e-06;0.00010716894273493649;
NC_012803;3.6577165780982135e-05;2.8064754784395962e-05;1.1838467492475413e-05;6.200475330569999e-05;7.177941873881544e-06;0.00010357362325108532;3.3929411052957548e-06;2.0829233096097965e-05;9.360434292737807e-05;3.542020566288384e-05;8.449698512358328e-05;5.542967098703944e-05;9.30736200210891e-06;0;0.00012026902970568853;
NC_002662;6.566948605418732e-05;0.00010287496740141178;0.00017674700197595206;9.529238812006069e-05;8.499584775362168e-05;6.851570623495062e-05;0.00011558420258911406;0.00011345379571731096;1.828869906067565e-05;8.24924307141206e-05;8.04855357941503e-05;0.00011135742033846485;0.00010716894273493649;0.00012026902970568853;0;
